,year,station,date,latitude,longitude,bottom_depth,tdr_depth
128,2015,453,5/24/15,38.4667,-123.3867,115,29.5
129,2016,453,5/24/16,38.4667,-123.3867,115,31
130,2017,453,5/15/17,38.4667,-123.3867,115,37
44,2011,454,5/4/11,38.4667,-123.71,910,36
131,2013,454,5/19/13,38.4667,-123.71,910,32
132,2015,454,5/2/15,38.4667,-123.71,910,35
133,2015,454,5/3/15,38.4667,-123.71,910,35
134,2015,454,5/25/15,38.4667,-123.71,910,30
135,2016,454,5/25/16,38.4667,-123.71,910,22
136,2018,454,5/24/18,38.4667,-123.71,910,32
46,2012,481,5/24/12,33.0167,-117.75,798,36
137,2015,481,6/7/15,33.0167,-117.75,798,32
138,2018,481,5/10/18,33.0167,-117.75,798,39
47,2012,482,5/24/12,32.9167,-117.5833,865,28
139,2016,482,5/10/16,32.9167,-117.5833,865,25
140,2017,482,6/12/17,32.9167,-117.5833,865,30
,2018,482,5/8/18,32.9167,-117.5833,865,30
49,2012,492,5/28/12,35,-120.7933,94,31
50,2012,493,5/28/12,35,-120.8833,192,32
142,2017,493,5/11/17,35,-120.8833,192,33
143,2015,495,6/10/15,35,-121.1167,532,32
144,2016,495,5/13/16,35,-121.1167,532,27
145,2017,495,5/12/17,35,-121.1167,532,30
146,2018,495,6/13/18,35,-121.1167,532,36
