station_id,sensor_id,"latitude (degree)","longitude (degree)",date_time,"http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -150.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -40.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -80.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -2.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -10.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -20.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -200.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -60.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -100.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -250.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -5.0 m)"
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2018-12-24T00:00:00Z,49.02012939453118,57.578959655761594,55.129964637756245,58.712475776672306,58.70934982299792,58.6508939743041,47.16506385803217,56.11643390655507,53.778186225891034,46.76046142578116,58.7136327743529
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2018-12-25T00:00:00Z,50.09127235412592,56.4460597991943,53.07978706359853,58.651228713989155,58.64706592559804,58.424373054504315,47.821399116516034,54.256731796264546,52.302633094787495,46.056629180908146,58.652116203308026
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2018-12-26T00:00:00Z,49.23263587951652,56.64534320831291,52.49156017303454,58.617306709289494,58.61931343078601,58.619249916076626,47.07058830261224,54.22085456848134,51.288347816467194,45.621287345886174,58.62080001831049
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2018-12-27T00:00:00Z,48.28755073547353,55.759177398681516,52.795586204528774,57.54402828216547,57.544936370849484,57.539098167419354,45.956686210632256,54.241017913818325,51.68533535003655,45.780310153961125,57.54747009277338
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2018-12-28T00:00:00Z,47.370836067199605,55.66636352539052,51.98919315338128,57.673814582824605,57.67015304565422,57.584837341308514,46.033821392059224,53.41589317321774,50.64719085693349,45.91483259201044,57.67580413818354
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2018-12-29T00:00:00Z,47.737973403930596,55.39768085479733,52.178745079040425,57.42570724487297,57.41874637603752,57.391750907897915,45.99563274383536,53.48800640106191,50.77364349365229,45.606704711914006,57.42590980529775
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2018-12-30T00:00:00Z,48.32272758483879,55.70214977264396,52.31080074310296,57.071173286437954,57.069873809814396,57.10770282745358,46.30673465728751,53.76521892547595,51.02329063415522,45.35421571731558,57.07287616729724
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2018-12-31T00:00:00Z,47.82214584350578,56.24218273162836,51.9000511169433,56.46860408782953,56.47430324554438,56.473918724059956,47.33636302947991,54.20177268981928,50.22601451873771,45.63331050872796,56.473415756225506
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2019-01-01T00:00:00Z,48.01161880493157,55.989179611206,52.13519115447991,56.114912986755314,56.12135543823234,56.11589832305896,46.94695949554438,54.21441555023188,50.63277130126943,46.11202259063714,56.12102928161613
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2019-01-02T00:00:00Z,47.91247234344473,55.4862272262572,52.033323860168366,55.797634696960415,55.80107994079577,55.793973159789914,46.58596248626702,53.886550903320256,50.48374347686757,46.16523675918569,55.80221977233879
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2019-01-03T00:00:00Z,47.75345897674555,54.23762073516838,50.3893554687499,55.41569499969472,55.41887760162348,55.4369741439819,46.85661411285395,52.02892417907708,49.27219352722159,46.33232164382929,55.41871109008781
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2019-01-04T00:00:00Z,46.68014965057364,52.767040634155194,49.81779003143305,54.42102203369137,54.41736907958972,54.329598617553586,46.09699020385733,51.312969207763615,48.579121017455975,46.61087055206292,54.42069587707516
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2019-01-05T00:00:00Z,46.94907951354975,52.92497253417963,49.403063011169365,54.35490493774404,54.33522396087636,54.17588615417475,45.916258239746014,51.00350494384759,48.41547451019278,45.69760541915883,54.351058006286564
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2019-01-06T00:00:00Z,47.71613121032709,53.11970863342282,50.30987796783438,54.33539733886715,54.32472171783439,54.28546276092521,46.27365722656242,51.244740676879815,49.51869411468499,45.27945976257314,54.33523254394521
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2019-01-07T00:00:00Z,48.3865100860595,53.58917160034167,51.01077480316155,54.90913600921618,54.92551765441891,54.91048698425283,46.95423450469963,52.09151020050041,50.18128986358636,45.74468011856072,54.917698478698696
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2019-01-08T00:00:00Z,48.171234703063874,52.09209728240961,50.37827129364007,55.46682090759265,55.403098487853924,54.28791408538808,47.40961093902581,50.7954050064086,49.925013160705475,46.599911689758244,55.45191383361811
